leftSensor,middleSensor,rightSensor,left,forward,right
60,35,70,0,1,0
53,76,15,1,0,0
27,19,65,0,0,1
72,53,64,0,1,0
38,59,100,0,1,0
70,31,24,1,0,0
97,27,86,0,1,0
99,62,52,0,1,0
57,16,29,1,0,0
36,86,35,0,1,0
78,20,83,0,0,1
94,46,97,0,1,0
45,59,97,0,1,0
15,86,87,0,0,1
59,81,86,0,1,0
55,76,20,1,0,0
64,93,55,0,1,0
31,70,17,1,0,0
26,87,16,0,1,0
26,21,19,1,0,0
59,76,41,0,1,0
24,29,76,0,0,1
72,100,83,0,1,0
87,15,58,1,0,0
39,42,69,0,1,0
97,19,78,1,0,0
61,73,49,0,1,0
28,68,39,0,1,0
80,59,24,1,0,0
21,24,90,0,0,1
48,49,32,0,1,0
70,17,25,1,0,0
61,70,62,0,1,0
98,64,100,0,1,0
29,46,47,0,1,0
16,29,63,0,0,1
64,36,82,0,1,0
95,36,87,0,1,0
23,50,72,0,0,1
77,62,77,0,1,0
17,32,47,0,0,1
56,82,40,0,1,0
76,87,18,1,0,0
49,46,67,0,1,0
40,89,74,0,1,0
20,70,100,0,0,1
86,33,66,0,1,0
36,84,70,0,1,0
77,15,15,1,0,0
98,58,81,0,1,0
46,88,61,0,1,0
83,69,86,0,1,0
17,60,30,0,0,1
56,52,80,0,1,0
36,77,93,0,1,0
24,58,73,0,0,1
47,91,44,0,1,0
92,72,19,1,0,0
86,99,88,0,1,0
32,79,19,1,0,0
47,27,78,0,1,0
35,67,68,0,1,0
21,81,75,0,0,1
59,75,15,1,0,0
81,22,96,0,0,1
18,55,39,0,0,1
65,16,25,1,0,0
72,89,19,1,0,0
31,85,26,0,1,0
81,66,96,0,1,0
23,89,52,0,0,1
79,82,70,0,1,0
77,62,85,0,1,0
92,17,58,1,0,0
50,47,74,0,1,0
57,70,21,1,0,0
56,15,17,1,0,0
60,39,72,0,1,0
35,54,36,0,1,0
92,17,44,1,0,0
30,89,83,0,1,0
15,98,58,0,0,1
20,99,35,0,0,1
96,56,48,0,1,0
95,36,52,0,1,0
65,32,17,1,0,0
100,65,64,0,1,0
75,19,50,1,0,0
52,100,79,0,1,0
18,48,87,0,0,1
46,65,85,0,1,0
60,99,47,0,1,0
17,47,38,0,0,1
28,65,52,0,1,0
64,43,71,0,1,0
19,92,76,0,0,1
16,16,81,0,0,1
17,28,80,0,0,1
66,45,29,0,1,0
39,64,51,0,1,0
